('RIVE', '9.80')
('RKDA', '3.2500')
('RMCF', '5.80')
('RMGBW', '2.9500')
('RMNI', '8.05')
('RMTI', '1.4400')
('RNWK', '3.0250')
('ROCCW', '2.4100')
('RSSS', '2.5600')
('RSVAW', '4.5900')
('RUHN', '3.3500')
('RVPH', '9.50')
('RVPHW', '0.7100')
('RVSB', '5.62')
('RWLK', '3.3335')
('SAIIW', '2.1300')
('SALM', '1.8200')
('SANW', '3.6500')
('SBBP', '3.1000')
('SBT', '5.12')
('SCKT', '2.8000')
('SCOR', '4.2900')
('SCPH', '6.76')
('SCPS', '9.51')
('SCYX', '9.34')
('SEAC', '1.3400')
('SECO', '2.8400')
('SEEL', '3.4800')
('SELB', '5.1400')
('SELF', '4.1200')
('SESN', '2.4100')
('SFET', '2.0000')
('SFT', '8.31')
('SFTTW', '2.7500')
('SGAMW', '1.1600')
('SGBX', '6.82')
('SGLB', '4.0700')
('SGLBW', '0.2800')
('SGMA', '5.50')
('SGOC', '1.8000')
('SGRP', '1.5500')
('SHIP', '1.1900')
('SHIPW', '0.0600')
('SHIPZ', '0.0600')
('SIC', '8.48')
('SIEB', '5.65')
('SIEN', '5.98')
('SIFY', '2.9800')
('SIGA', '6.83')
('SINO', '7.25')
('SINT', '2.2800')
('SIOX', '3.0500')
('SIRI', '6.14')
('SLCT', '9.84')
('SLDB', '8.00')
('SLGG', '3.6400')
('SLNO', '2.7100')
('SLRX', '1.6600')
('SLS', '9.23')
('SLVO', '6.80')
('SMIT', '5.57')
('SMMCW', '1.1500')
('SMMT', '9.41')
('SMSI', '7.99')
('SMTX', '5.87')
('SNCA', '1.5500')
('SNCR', '4.83')
('SND', '2.0700')
('SNDE', '2.8300')
('SNDL', '1.1500')
('SNES', '2.1600')
('SNFCA', '9.58')
('SNGX', '1.7000')
('SNGXW', '0.3999')
('SNOA', '8.67')
('SNRHW', '1.5499')
('SNSS', '3.0700')
('SOHO', '2.9600')
('SOLO', '8.82')
('SOLOW', '0.75')
('SONM', '1.0700')
('SONN', '3.1200')
('SPCB', '1.7700')
('SPPI', '3.9700')
('SPRT', '2.4900')
('SQFT', '3.8000')
('SRACW', '0.50')
('SRAX', '4.77')
('SRET', '9.20')
('SREV', '1.6900')
('SRGA', '2.9073')
('SRSAW', '2.2200')
('SRTS', '4.0500')
('SSKN', '1.9200')
('SSNT', '5.29')
('SSPKW', '0.60')
('STAF', '1.1500')
('STCN', '1.9300')
('STKS', '4.0700')
('STRM', '2.2500')
('STRR', '3.7900')
('STSA', '6.54')
('SVACW', '1.3300')
('SVBI', '7.66')
('SVFAW', '4.2000')
('SVRA', '2.0000')
('SVSVW', '2.1700')
('SVVC', '6.40')
('SXTC', '0.8687')
('SYBX', '4.2400')
('SYNC', '2.0900')
('SYNL', '8.11')
('SYPR', '3.1700')
('SYTAW', '5.55')
('TACT', '8.62')
('TAIT', '4.2500')
('TANH', '2.2000')
('TAOP', '3.6200')
('TAST', '6.88')
('TATT', '5.56')
('TBLT', '1.4100')
('TBLTW', '0.0500')
('TC', '4.1000')
('TCCO', '3.9200')
('TCDA', '7.40')
('TDACW', '0.3000')
('TECTP', '9.75')
('TEDU', '3.1400')
('TEKKW', '2.1700')
('TELL', '3.3900')
('TENX', '2.3800')
('TESS', '8.29')
('TGA', '1.2700')
('TGLS', '7.17')
('TH', '1.8600')
('THBRW', '1.5500')
('THCAW', '0.4000')
('THCBW', '0.60')
('THMO', '3.3200')
('THTX', '2.5100')
('THWWW', '0.1500')
('TIPT', '5.16')
('TLC', '5.54')
('TLGT', '1.0600')
('TLMD', '7.94')
('TLMDW', '1.3500')
('TLSA', '4.0800')
('TMDI', '3.0600')
('TMPMW', '1.8800')
('TMTSW', '1.4200')
('TNAV', '4.7800')
('TNXP', '1.6589')
('TOMZ', '4.7500')
('TOPS', '2.1500')
('TOUR', '2.8000')
('TRCH', '1.3500')
('TRIB', '5.86')
('TRIT', '7.60')
('TRITW', '1.9000')
('TRMD', '7.95')
('TRMT', '4.0500')
('TRST', '6.55')
('TRUE', '5.00')
('TRVG', '2.6600')
('TRVI', '3.4900')
('TRVN', '2.6600')
('TSIAW', '5.5000')
('TTNP', '3.7500')
('TTOO', '3.2500')
('TURN', '6.90')
('TUSK', '4.5100')
('TWCTW', '2.3200')
('TWIN', '8.60')
('TWNKW', '0.8800')
('TXMD', '2.2370')
('TYHT', '4.2400')
('TYME', '2.4700')
('UBFO', '7.01')
('UBX', '8.10')
('UEPS', '4.6835')
('UIHC', '5.59')
('UK', '3.6500')
('UKOMW', '0.5500')
('ULBI', '6.61')
('UNAM', '6.00')
('UONE', '6.91')
('UONEK', '1.9300')
